user_id,country,created_at
12542,Brasil,2025-12-06
50061,Brasil,2019-07-03
39073,Brasil,2024-03-01
94732,Brasil,2025-09-12
3812,Brasil,2020-02-13
78140,Brasil,2023-05-19
60735,Brasil,2020-04-07
11264,Brasil,2022-02-13
23857,Brasil,2022-05-27
43608,Brasil,2023-07-29
84502,Brasil,2024-12-29
4003,Brasil,2019-12-24
75982,Brasil,2025-12-29
41453,Brasil,2023-01-12
18363,Brasil,2023-07-02
58742,Brasil,2025-04-21
19679,Brasil,2019-01-21
51611,Brasil,2019-11-21
32161,Brasil,2019-01-15
98473,Brasil,2021-07-04
36363,Brasil,2019-06-14
64438,Brasil,2020-02-24
81167,Brasil,2022-03-28
12867,Brasil,2020-05-19
1104,Brasil,2021-02-12
87045,Brasil,2023-08-24
33924,Brasil,2023-05-09
1063,Brasil,2019-10-10
7178,Brasil,2020-06-27
63583,Brasil,2022-04-28
92149,Brasil,2021-05-13
20348,Brasil,2019-08-16
93251,Brasil,2021-03-04
14892,Brasil,2021-10-09
12783,Brasil,2025-06-30
50735,Brasil,2021-01-13
10797,Brasil,2023-02-02
86660,Brasil,2024-11-27
57632,Brasil,2025-10-06
66171,Brasil,2019-01-08
32728,Brasil,2022-09-08
38048,Brasil,2024-02-15
30908,Brasil,2023-04-06
81721,Brasil,2022-05-17
69629,Brasil,2023-10-08
43205,Brasil,2020-06-14
77752,Brasil,2021-08-08
27613,Brasil,2020-01-04
78121,Brasil,2020-10-28
51072,Brasil,2021-07-01
56483,Brasil,2019-06-17
97316,Brasil,2024-12-24
66472,Brasil,2020-06-25
14982,Brasil,2021-02-25
14630,Brasil,2022-11-30
73201,Japan,2025-01-09
69983,Japan,2024-05-15
74135,Japan,2023-03-16
90671,Japan,2024-07-15
84225,Japan,2020-01-08
44928,Japan,2020-08-05
48531,Japan,2023-07-16
14462,Japan,2021-03-05
63521,Japan,2023-07-17
52908,Japan,2022-06-10
47651,Japan,2022-08-21
35140,Japan,2024-05-02
74319,Japan,2024-02-04
62971,Japan,2024-06-29
51054,Japan,2025-10-03
94644,Japan,2019-12-26
57389,Japan,2024-02-06
47600,Japan,2021-09-28
26871,Japan,2019-01-23
89467,Japan,2020-07-21
29951,Japan,2023-12-03
67001,Japan,2020-10-21
15811,Japan,2021-11-20
78972,Japan,2023-06-17
58551,Japan,2020-08-12
63507,Japan,2020-07-11
61915,Japan,2023-12-19
87576,Japan,2024-06-07
39187,Japan,2019-11-29
18921,Japan,2019-06-27
32054,Japan,2023-05-01
72217,Japan,2025-07-15
64139,Japan,2025-11-09
6345,Japan,2024-03-21
60344,Japan,2022-09-09
